seq_len,ch_idx
1583,27
1020,12
991,1
898,8
864,24
852,8
848,18
1570,29
756,4
757,8
718,22
711,24
713,26
699,11
695,12
694,31
681,1
670,10
634,21
622,13
646,19
581,4
590,8
739,16
598,20
569,16
907,26
1205,0
532,18
529,23
505,6
1331,11
555,15
567,18
500,20
530,21
498,31
496,2
580,3
511,11
670,16
500,18
579,23
524,24
472,2
476,3
479,11
463,12
484,17
461,2
436,3
474,7
568,8
429,15
444,23
477,24
421,30
458,1
442,3
1960,5
457,7
405,10
407,12
502,15
631,18
428,20
417,22
411,28
406,29
393,30
431,31
446,0
406,5
402,6
442,7
385,9
372,18
532,19
383,20
382,24
512,28
379,30
370,2
374,3
406,7
372,10
592,11
361,19
356,20
371,22
367,25
780,26
354,27
371,29
471,30
344,1
341,6
371,7
344,9
364,10
1259,16
337,21
341,22
1593,28
321,29
321,5
323,6
329,7
359,8
315,10
313,11
318,13
313,14
324,15
307,16
308,17
331,21
301,22
309,23
303,26
293,28
316,30
331,31
316,0
311,3
394,6
444,8
285,10
291,13
281,16
290,17
327,20
272,22
297,28
281,30
263,31
888,0
326,1
562,2
267,6
274,8
270,9
261,10
264,11
257,13
253,14
262,18
257,19
529,20
247,26
310,28
231,31
253,0
221,3
257,4
226,5
1001,7
230,8
226,9
252,10
220,11
230,12
602,13
213,15
273,16
236,17
240,18
205,24
255,25
236,26
235,27
423,28
215,29
213,30
224,31
229,2
202,3
202,4
191,6
207,7
199,8
207,10
183,11
312,13
1507,14
183,18
194,20
188,21
350,22
187,23
209,24
805,25
173,27
175,29
180,30
196,0
185,1
235,3
196,5
167,6
177,7
169,8
195,9
161,11
153,12
163,13
165,14
160,15
305,17
182,19
170,20
170,21
161,22
484,24
361,25
148,26
172,27
152,28
879,29
207,30
158,0
139,1
143,2
203,3
148,4
177,5
157,6
148,7
152,8
156,9
141,10
140,12
142,13
166,14
147,16
136,17
152,18
129,19
131,20
155,21
123,22
125,24
145,26
146,28
136,31
125,0
132,2
135,3
140,4
117,5
114,7
187,8
129,9
125,10
130,11
180,12
120,13
163,14
394,15
136,16
140,17
165,21
101,24
113,26
124,27
114,29
101,30
113,0
119,1
96,2
91,4
99,5
2048,6
99,8
117,9
102,10
83,11
82,13
84,14
177,16
109,17
91,18
88,19
100,20
160,22
100,23
843,24
112,25
665,26
90,27
88,28
94,29
98,30
81,31
893,0
76,1
76,2
86,3
85,4
80,5
76,6
100,8
81,9
79,10
88,11
100,12
70,13
67,14
70,15
98,16
73,17
76,18
112,19
69,20
75,21
66,22
70,23
61,25
59,26
206,27
59,28
62,29
144,30
55,31
125,0
55,1
43,2
58,3
57,4
43,5
60,6
44,7
54,8
45,9
56,10
451,11
46,13
50,14
43,15
31,16
38,17
97,18
48,19
51,21
34,22
79,23
40,24
39,25
101,26
25,27
73,28
26,29
36,30
31,31
24,0
56,1
30,2
83,3
45,4
80,5
19,6
51,7
60,8
18,9
20,10
17,11
16,12
11,13
20,14
1077,15
39,16
18,17
451,18
16,19
24,20
9,21
60,22
35,23
26,24
8,25
2048,26
8,27
18,28
153,29
