seq_len,ch_idx
457,17
449,5
413,19
384,23
346,8
333,14
332,7
272,18
247,14
221,24
218,25
213,15
201,3
197,10
174,11
173,21
171,5
170,7
162,2
160,14
156,16
154,9
152,24
152,26
145,25
145,2
144,19
141,17
141,29
141,31
140,6
138,1
135,11
133,26
133,13
133,21
132,26
131,16
128,5
125,0
134,3
123,3
122,0
122,17
122,23
121,6
121,22
120,25
119,3
119,10
118,27
117,22
116,18
115,29
115,11
115,4
113,16
113,8
113,29
111,17
111,18
110,2
110,8
110,19
110,11
110,25
108,23
108,28
108,31
107,5
107,7
105,18
105,13
104,26
103,17
103,5
102,26
102,11
102,30
100,24
100,9
100,20
99,18
99,22
99,13
99,25
98,5
98,0
98,24
96,8
96,16
95,19
101,13
98,27
98,23
97,28
94,21
93,6
93,27
93,23
93,28
90,4
90,15
90,23
90,25
89,28
89,8
89,20
88,0
88,3
87,23
87,24
87,28
87,2
85,10
97,25
90,15
88,13
87,3
86,5
86,8
85,15
84,30
83,11
82,20
82,15
82,0
81,10
81,1
81,14
81,22
81,4
81,13
80,29
79,15
78,2
78,17
78,24
78,23
78,28
78,10
78,1
78,21
77,22
75,1
75,21
75,27
75,30
75,2
74,1
74,18
73,10
73,28
72,12
72,6
71,11
71,8
71,10
71,28
71,5
71,24
71,14
70,2
70,3
69,6
69,11
69,13
69,15
69,28
68,5
68,9
68,25
68,23
67,16
67,31
66,19
69,1
67,12
66,1
64,11
64,7
64,30
63,13
63,29
63,9
63,11
63,28
63,15
62,18
62,7
62,1
62,30
62,20
61,22
61,2
61,13
61,27
61,29
61,6
61,9
61,11
60,28
60,4
60,10
60,26
60,25
60,14
60,7
60,23
59,21
58,27
58,11
58,28
57,4
57,15
57,26
57,0
57,5
57,31
57,24
54,19
64,18
60,19
59,22
58,8
58,18
57,7
56,12
55,22
55,21
55,8
55,2
53,19
53,31
52,12
52,13
52,30
51,8
51,29
51,3
51,18
51,0
51,14
51,17
51,1
51,12
50,27
50,6
50,13
50,30
50,4
50,8
49,9
49,3
48,0
48,25
48,31
48,7
47,16
50,4
49,9
48,12
48,0
48,9
48,6
47,12
46,9
45,1
45,6
44,0
43,4
43,21
43,29
43,23
42,6
42,22
42,0
41,9
41,13
41,21
41,27
41,29
41,2
41,20
41,28
41,18
41,11
40,25
40,23
39,12
39,22
39,4
39,9
39,27
39,29
38,20
38,28
38,18
38,11
38,15
38,25
38,7
37,19
37,14
37,23
37,5
37,17
46,1
42,30
42,29
40,7
38,1
37,12
37,20
37,29
35,4
35,2
35,25
35,15
34,24
34,10
34,26
34,16
33,1
33,12
33,30
33,29
33,6
33,9
32,13
32,21
32,2
32,22
32,27
30,10
30,26
30,7
30,16
30,17
30,20
30,30
30,29
29,6
29,9
29,13
29,4
29,22
29,27
29,25
29,11
29,18
29,24
29,8
29,10
29,26
28,3
28,14
27,5
27,17
25,23
50,12
32,20
30,26
29,12
28,27
28,30
27,4
26,24
25,5
25,12
25,20
25,27
25,30
25,4
24,31
24,24
24,0
24,8
23,5
23,16
23,19
22,12
22,20
22,27
22,30
22,29
22,1
22,4
22,6
21,22
21,28
21,26
21,10
21,31
21,2
21,15
20,24
20,3
20,0
20,8
20,23
20,16
20,19
20,12
20,27
19,30
19,29
19,1
19,22
19,28
19,10
19,21
19,31
19,2
18,15
18,24
18,3
18,0
17,18
17,8
17,7
17,23
17,5
17,16
17,19
16,14
16,17
27,31
25,31
24,14
22,20
22,31
19,16
19,21
19,14
18,17
17,20
17,31
16,16
16,21
15,26
15,3
15,7
15,19
15,14
15,17
14,20
14,31
14,16
14,9
14,6
14,21
13,10
13,26
13,15
13,3
13,7
13,19
12,14
12,17
12,20
12,31
12,30
12,4
11,16
11,9
11,22
11,0
11,6
11,21
11,10
11,26
11,15
10,2
10,3
10,13
10,24
10,7
10,19
10,14
10,18
10,17
10,25
9,20
9,31
9,12
9,30
9,4
9,27
9,16
9,9
9,22
9,0
9,6
8,21
8,10
8,26
8,1
8,15
8,2
8,3
8,13
8,24
8,7
8,19
7,8
7,14
7,18
6,11
5,17
5,25
5,5
