seq_len,ch_idx
340,24
323,28
315,13
249,8
239,6
238,20
229,6
226,23
225,20
217,17
216,16
213,30
196,29
190,9
189,8
188,18
184,19
178,7
172,19
172,8
172,16
172,7
166,3
170,1
166,1
165,21
164,17
163,25
162,21
157,22
145,23
141,10
141,13
139,9
137,29
137,9
135,10
134,26
133,22
133,0
130,19
130,17
129,11
133,7
125,20
123,18
123,29
122,11
121,25
120,23
119,3
119,1
118,19
117,5
123,25
118,31
117,18
117,7
116,13
114,29
114,21
114,2
112,4
112,11
110,22
109,17
109,21
108,19
108,10
107,0
110,31
110,30
107,18
107,2
105,15
105,7
104,18
104,2
104,31
103,26
103,22
103,30
103,15
103,7
102,2
102,11
102,16
102,25
102,20
101,26
101,22
100,15
100,9
99,31
99,29
99,25
98,7
96,15
96,7
95,18
94,1
94,21
94,24
94,15
93,9
93,16
92,19
92,14
92,29
91,8
91,4
91,24
91,30
91,15
90,2
90,18
89,27
89,29
89,1
89,10
88,20
88,23
162,10
94,16
90,16
87,14
87,26
84,2
84,19
84,26
82,6
82,16
82,14
82,7
81,29
81,9
81,22
81,13
81,8
80,30
80,2
80,6
80,14
80,26
80,10
80,12
79,17
78,3
77,0
76,5
76,8
81,27
80,19
79,27
78,23
78,18
77,1
77,17
77,19
76,27
76,9
75,23
75,5
75,2
74,6
73,12
73,29
73,5
72,13
72,24
72,21
71,18
70,7
70,31
70,9
70,29
69,11
69,23
69,26
69,5
68,22
68,10
68,8
68,13
68,20
66,2
73,28
70,27
68,10
66,16
66,18
66,27
65,3
64,12
64,14
64,15
64,24
63,26
63,22
63,27
63,10
62,9
62,12
62,14
62,29
62,17
62,19
62,15
62,24
62,28
62,13
61,26
61,22
60,11
60,1
60,6
60,12
59,17
59,16
59,28
58,13
58,7
58,31
57,20
64,4
57,10
55,4
54,29
54,31
54,5
54,24
54,6
53,14
53,29
53,31
53,1
52,24
52,6
51,12
51,17
51,28
51,13
51,20
50,29
50,18
50,24
49,6
49,15
49,16
49,19
49,3
48,2
48,23
48,13
48,26
47,7
47,30
47,20
47,0
45,4
50,3
49,11
49,12
49,3
48,31
47,11
46,24
45,10
45,1
44,14
44,11
44,12
44,24
44,10
43,6
43,0
42,8
42,26
42,25
42,31
42,11
42,24
41,22
41,1
41,27
41,6
41,19
40,8
40,26
40,30
40,20
40,25
39,31
39,11
39,12
39,24
39,10
39,22
38,3
38,27
38,19
38,15
37,23
37,2
36,30
35,21
35,25
44,4
40,23
39,25
39,30
38,23
37,25
37,30
36,0
36,28
35,27
34,3
34,0
34,5
34,14
34,28
33,1
33,13
33,16
33,11
33,12
33,27
33,2
33,30
33,31
33,0
33,5
33,14
32,1
32,19
32,13
31,16
31,8
31,9
31,17
31,20
30,27
30,2
30,3
30,23
29,0
29,5
29,10
29,14
29,24
29,22
29,28
29,6
29,19
29,13
28,18
28,16
27,7
27,9
26,17
26,20
33,4
32,21
32,4
29,4
28,12
28,14
28,31
27,0
26,28
26,21
26,9
25,14
25,25
25,31
25,5
25,3
24,30
24,0
24,1
24,15
24,21
24,20
23,18
23,27
22,12
22,25
22,31
22,3
22,0
22,1
22,22
21,28
21,16
21,6
21,21
21,9
21,20
21,18
20,26
20,4
20,12
20,25
20,31
20,5
20,3
19,30
19,0
19,1
19,28
19,15
19,10
18,23
18,6
18,9
17,29
17,19
17,17
17,8
16,7
27,4
22,4
21,5
21,28
19,21
18,8
18,4
17,5
17,28
16,15
16,21
16,11
16,17
16,8
15,4
15,12
15,0
15,5
15,14
15,3
14,27
14,28
14,15
14,21
14,11
14,25
14,30
14,26
13,2
13,17
13,22
13,23
13,8
13,13
12,4
12,12
12,0
12,5
12,14
12,3
12,27
11,28
11,15
11,21
11,11
11,25
11,30
11,26
10,2
10,9
10,17
10,22
10,24
10,6
10,23
10,8
10,13
10,16
10,18
9,20
9,7
9,4
9,12
9,0
9,5
9,14
9,3
9,27
9,28
9,15
9,21
8,11
8,25
8,30
8,26
8,1
8,2
8,9
8,17
8,22
8,24
8,6
8,23
7,8
7,13
7,16
7,18
6,20
6,10
6,29
4,7
