seq_len,ch_idx
2048,23
2048,5
968,9
972,13
854,29
899,15
787,24
786,1
739,30
731,6
968,9
908,13
713,30
1793,3
714,7
689,8
644,17
631,8
606,15
592,4
651,16
546,3
2022,6
580,12
788,8
473,19
461,24
474,27
472,2
477,18
462,20
702,21
444,26
1272,7
417,8
517,11
420,12
1030,18
424,25
405,28
425,1
421,7
379,16
370,26
390,1
376,4
365,7
348,15
381,16
338,17
366,19
341,20
364,21
489,23
322,29
332,5
322,8
335,13
1219,17
325,18
2048,24
318,26
296,29
297,30
310,31
299,4
583,6
326,14
271,21
277,24
266,27
280,28
273,29
285,30
672,2
824,4
282,5
260,7
269,8
284,9
260,12
365,13
256,17
250,18
268,19
275,22
277,23
266,24
263,25
255,30
275,0
240,3
256,4
432,5
223,6
240,7
254,8
238,10
227,11
238,12
229,13
221,14
218,16
222,17
338,18
262,19
235,21
398,22
219,24
224,26
203,31
205,3
208,4
223,6
224,7
221,9
281,10
195,11
2048,12
221,13
206,14
182,16
208,17
232,18
198,21
220,22
223,23
178,24
193,25
290,26
188,29
177,31
205,1
184,4
159,7
169,8
155,9
251,10
151,11
157,13
200,14
169,15
163,16
145,17
149,18
170,19
192,20
145,22
153,23
151,24
135,25
146,26
169,27
1755,29
178,30
136,31
148,1
132,2
179,3
145,4
136,5
162,6
124,7
136,9
382,10
142,11
1103,12
214,13
119,14
154,15
126,16
125,17
117,18
110,19
109,20
114,21
114,22
116,23
262,24
163,25
141,26
186,27
99,28
106,29
121,30
91,31
136,0
110,1
146,3
85,4
103,5
90,6
93,7
118,8
73,9
94,10
79,11
82,12
127,13
110,14
108,15
103,16
83,17
65,18
335,19
69,20
402,21
90,22
55,23
62,24
72,25
59,26
483,27
60,28
61,29
47,30
60,31
48,0
42,1
70,2
56,3
61,4
70,6
51,7
51,9
47,10
34,11
37,12
105,13
43,14
42,15
45,16
23,17
46,18
46,19
173,20
108,21
94,22
68,23
39,24
32,25
36,26
18,27
21,28
13,29
10,30
25,31
61,0
20,1
63,2
14,3
97,4
16,5
6,6
4,7
13,8
