seq_len,ch_idx
1113,13
938,3
880,16
813,10
812,4
750,20
702,26
694,1
681,4
1116,7
686,9
757,20
669,31
626,3
607,26
600,14
591,29
573,26
568,25
602,1
552,22
844,19
764,18
557,19
551,14
532,14
531,31
550,1
526,8
520,7
513,15
973,18
556,7
494,11
1030,3
1339,17
639,24
463,27
456,11
737,6
452,21
448,6
441,16
431,6
401,2
1330,27
438,11
388,23
383,30
380,18
379,0
376,12
374,28
464,4
463,4
377,2
373,4
367,0
373,25
366,27
363,4
1029,19
354,26
336,15
323,19
357,18
316,15
331,18
319,6
312,0
1119,23
307,2
301,27
334,30
322,25
285,24
332,15
322,30
288,30
285,25
285,6
326,11
300,9
285,13
272,27
267,20
347,16
268,16
264,11
254,13
508,13
305,10
248,17
245,5
300,30
277,9
261,12
237,1
235,15
255,12
242,26
241,12
237,12
235,0
225,0
1134,28
265,17
240,24
213,2
368,25
247,26
220,8
212,21
210,26
209,25
1324,21
1007,23
413,12
258,27
248,29
211,12
210,15
209,2
206,26
200,0
199,6
347,23
269,13
231,5
199,0
186,10
235,16
193,28
189,22
186,0
183,2
177,6
475,16
240,8
214,12
184,4
181,24
213,29
161,13
159,21
157,7
151,8
211,10
189,29
183,10
169,22
149,29
293,9
229,22
217,9
188,28
156,7
152,1
150,29
150,2
148,22
146,10
143,25
2048,1
1176,15
150,6
141,27
137,31
136,12
136,6
130,13
127,27
124,9
169,18
122,12
119,10
119,18
361,24
212,29
161,22
128,24
128,3
116,0
115,29
108,22
105,24
115,31
106,31
103,31
102,31
100,10
99,13
97,31
91,10
343,8
193,2
98,8
89,2
86,22
235,14
145,22
125,9
123,25
82,14
81,22
80,8
140,19
104,30
92,20
71,5
69,8
67,9
67,0
64,24
103,21
86,21
81,21
66,14
64,20
55,19
112,5
90,5
89,5
76,5
66,5
63,20
50,23
49,5
48,20
44,17
221,28
94,17
93,30
72,3
52,17
43,30
31,28
466,11
50,11
48,30
38,11
34,3
32,23
686,17
539,7
103,11
73,16
47,5
24,8
24,29
21,30
13,24
320,28
13,16
9,20
4,14
