seq_len,ch_idx
2048,9
1101,10
993,7
929,8
859,6
821,18
704,2
2048,22
650,15
608,13
738,23
654,24
654,3
766,16
613,19
544,28
552,1
554,17
525,24
543,29
507,12
512,14
2048,19
510,20
752,23
472,24
474,31
474,6
451,17
456,20
441,25
459,26
452,27
424,12
421,13
411,19
427,20
435,24
449,2
391,6
474,10
407,13
392,18
387,20
390,26
377,29
371,0
366,2
370,5
355,10
866,11
371,12
397,13
354,15
347,16
519,18
352,21
347,24
656,25
443,28
372,29
357,31
325,0
439,4
406,5
354,10
357,11
315,14
328,15
311,22
313,28
1178,29
306,1
379,4
1285,5
299,6
307,7
283,10
286,15
283,16
276,19
295,20
283,22
375,27
275,28
458,29
260,2
305,6
260,7
257,10
264,12
233,14
307,15
234,16
244,20
238,21
237,22
255,24
252,25
757,26
234,27
240,28
212,30
228,31
262,1
223,5
220,6
371,7
197,9
223,11
207,12
226,13
205,14
680,15
192,16
553,17
189,18
186,21
250,22
193,23
183,25
177,26
183,27
171,30
187,31
224,0
229,1
354,2
172,3
179,4
174,5
169,6
550,8
184,10
159,13
160,14
291,15
163,16
155,17
163,18
160,19
161,20
148,21
145,22
174,23
152,24
144,26
145,27
141,29
159,30
152,31
251,1
138,3
145,5
137,6
172,8
489,9
131,10
235,11
134,12
159,13
127,15
111,16
117,17
116,19
126,20
129,22
118,23
115,24
113,26
91,27
1072,28
128,29
629,30
96,31
106,0
91,1
241,2
140,3
1120,4
85,5
92,7
133,8
274,9
103,10
366,11
88,12
75,13
80,14
82,15
83,16
80,17
82,19
231,20
82,21
82,22
65,23
69,24
77,25
79,26
76,27
157,28
89,29
66,31
65,1
41,2
53,3
66,4
48,5
38,6
41,7
89,8
50,9
48,10
616,11
38,12
222,13
70,15
55,16
38,17
101,18
42,19
53,20
32,21
34,22
33,23
29,24
37,25
964,26
56,27
24,28
35,29
57,30
128,31
42,0
23,1
16,2
52,3
24,4
25,5
64,6
26,7
13,8
13,9
40,10
45,11
57,12
30,13
10,14
343,15
19,16
27,17
18,18
49,19
18,20
11,21
