seq_len,ch_idx
339,8
284,19
261,1
243,30
238,13
222,18
208,0
211,0
199,4
208,8
193,12
191,15
185,3
180,6
182,13
182,26
182,30
172,26
176,3
167,22
174,25
170,30
161,28
153,19
154,20
151,6
154,1
154,3
141,7
138,14
141,31
169,18
129,6
136,11
137,14
135,16
126,23
127,28
128,2
130,13
120,19
126,30
124,6
115,13
122,18
122,24
127,25
126,29
122,6
122,12
112,17
114,19
107,22
109,26
113,29
119,0
117,3
108,4
110,19
108,22
106,25
111,26
118,29
114,12
108,16
109,17
105,3
103,6
96,17
97,18
97,21
101,24
100,30
92,4
92,10
93,12
92,16
92,17
90,20
93,25
96,6
94,7
99,11
93,18
92,19
95,25
91,1
81,3
85,7
76,8
82,12
80,16
85,17
85,19
83,20
80,21
89,24
78,25
80,30
83,31
82,0
80,4
95,7
83,13
85,18
82,19
81,28
80,30
79,1
75,2
72,5
69,7
68,8
69,9
71,12
69,20
73,22
70,24
65,28
71,29
74,31
68,1
69,5
68,6
72,7
72,9
74,11
70,12
71,13
69,15
70,18
71,19
72,20
67,22
71,27
57,28
60,29
61,30
58,5
58,12
60,15
60,17
58,19
60,20
62,22
61,25
67,26
58,4
61,10
58,12
62,13
58,14
65,15
50,18
53,19
51,20
49,22
49,23
48,26
53,29
46,30
52,31
48,0
48,1
49,2
46,4
56,9
49,11
51,12
54,16
51,22
49,23
48,24
54,25
53,27
47,28
48,31
51,0
54,2
52,3
53,4
49,5
49,7
51,8
53,10
51,11
52,14
51,15
56,18
60,20
46,24
41,25
37,26
45,30
40,8
41,9
41,11
43,16
42,20
43,22
36,23
38,24
40,25
38,26
40,27
38,29
39,4
46,5
38,6
43,7
41,9
46,10
49,11
37,12
41,13
44,15
43,17
40,18
42,20
43,21
31,22
35,25
32,29
42,30
32,31
38,0
32,2
32,3
28,4
39,5
31,9
28,10
29,12
32,14
28,15
39,17
46,18
33,22
30,24
33,28
28,29
32,30
31,31
27,0
33,1
28,2
27,3
33,4
37,5
31,6
32,7
30,9
34,12
35,13
33,14
29,15
33,16
35,17
31,19
19,26
21,27
26,28
23,29
20,30
23,31
16,0
25,1
18,2
25,3
34,6
19,7
23,8
17,9
20,10
22,11
27,12
20,13
25,14
23,15
27,16
22,17
20,18
21,19
25,21
20,22
17,23
21,24
24,25
22,26
39,28
25,30
32,31
24,0
19,1
19,2
18,3
27,4
22,5
21,6
15,8
22,9
25,10
23,12
21,13
20,14
24,15
24,16
22,18
19,19
26,20
21,21
20,22
22,23
25,25
17,26
20,27
31,29
23,30
24,31
23,0
16,1
18,2
10,3
7,4
12,5
17,6
11,7
10,8
12,9
11,10
19,11
7,12
9,13
12,14
7,15
13,16
14,17
7,18
7,19
8,20
11,21
15,22
9,23
12,24
11,25
15,26
10,27
13,28
15,29
6,30
13,31
11,0
15,1
19,2
11,3
15,4
11,5
8,6
24,7
12,8
13,9
6,10
13,11
16,12
11,13
11,14
8,15
9,16
8,17
14,18
22,19
12,20
7,21
9,22
11,23
14,24
8,25
10,26
11,27
13,28
12,29
11,30
10,31
7,0
