seq_len,ch_idx
399,10
308,29
262,13
180,7
157,15
149,4
153,15
140,17
129,20
133,8
121,12
119,16
119,28
111,2
116,9
116,18
101,27
102,28
102,29
97,30
103,1
97,4
102,9
92,13
93,16
92,19
87,20
101,28
93,31
83,5
85,7
81,10
79,11
84,19
78,20
87,21
90,23
72,24
72,28
70,0
67,2
72,4
71,5
64,10
61,11
63,12
62,18
57,20
61,23
49,31
66,0
47,3
53,4
57,5
54,10
53,13
48,14
51,15
51,16
57,19
56,24
40,26
38,27
48,29
41,31
43,2
41,3
43,4
42,7
38,8
30,10
27,11
30,13
32,14
34,15
31,16
29,17
32,18
29,19
30,22
33,23
45,24
29,26
32,27
42,29
30,30
28,31
28,0
29,1
34,4
19,7
17,8
18,10
14,11
19,12
19,14
26,16
24,17
22,18
23,19
24,20
23,21
20,22
16,24
16,25
21,26
30,28
24,29
12,30
5,31
9,0
10,1
12,2
14,3
10,4
8,5
13,6
14,7
9,8
11,9
17,10
11,11
10,12
8,13
11,14
16,15
14,16
11,17
