seq_len,ch_idx
464,2
342,3
310,7
304,6
292,16
251,0
248,29
237,31
233,20
233,21
235,3
226,30
217,13
208,30
199,26
200,21
199,30
219,31
189,28
196,30
191,20
193,24
183,6
181,14
184,25
184,30
171,10
182,23
174,31
177,4
168,11
170,17
177,19
176,28
170,12
172,14
164,17
169,28
157,10
163,11
151,6
136,29
138,28
142,1
148,21
142,25
132,31
130,9
148,14
131,17
140,25
137,8
128,10
130,2
126,9
132,11
117,16
125,24
117,25
124,26
123,3
119,4
122,6
125,12
120,18
119,23
121,25
125,13
122,14
119,19
111,0
123,7
114,9
110,16
113,21
108,23
109,28
112,10
111,14
115,17
109,23
111,26
108,2
104,8
100,10
101,12
103,17
104,24
100,27
105,1
104,2
97,6
104,13
100,15
103,17
100,19
100,4
99,14
103,17
96,28
93,31
91,2
95,4
85,6
91,11
92,13
93,17
91,18
93,20
87,3
99,17
91,18
90,23
83,31
79,2
80,3
81,8
79,10
84,17
78,20
81,21
86,23
83,26
94,30
83,0
90,2
75,8
79,12
81,13
79,18
80,21
83,22
82,24
83,29
87,30
81,1
81,3
85,6
78,7
77,9
82,10
79,12
79,13
79,16
81,17
69,20
66,25
71,29
81,1
75,6
71,8
74,9
74,10
71,12
72,16
72,17
77,20
71,21
70,23
64,25
71,30
66,31
70,2
69,3
68,4
71,8
73,13
72,14
69,15
70,16
69,17
75,18
84,23
71,24
69,25
67,28
81,30
77,31
73,0
71,1
73,2
80,3
74,7
62,8
69,10
58,13
60,15
62,23
63,25
66,29
65,3
63,4
58,5
60,6
58,7
60,8
58,10
65,12
63,13
60,14
57,15
62,18
63,20
66,23
71,25
59,28
65,30
60,31
62,0
62,1
60,5
64,6
64,9
56,11
56,12
66,13
54,14
59,17
62,18
60,20
66,21
58,22
63,23
52,29
54,0
55,1
62,2
53,3
51,6
48,9
50,10
48,13
50,14
54,16
52,17
51,19
50,21
57,23
50,24
50,25
49,28
49,1
53,2
50,7
57,9
54,10
53,15
52,19
49,22
52,25
53,27
58,28
54,29
51,30
47,31
47,3
51,4
63,7
51,9
51,10
49,11
57,13
59,15
49,16
38,19
42,21
39,22
39,23
44,24
49,26
42,27
42,28
42,29
47,31
39,0
39,2
44,3
43,4
37,5
44,6
40,10
34,11
39,12
45,13
41,14
42,19
42,20
40,21
38,23
37,25
42,29
41,30
41,0
51,1
41,2
45,5
42,7
42,8
43,9
39,11
46,13
38,15
43,16
45,19
38,22
47,23
41,25
42,29
43,31
47,0
45,2
44,4
32,5
30,7
32,8
35,9
31,10
32,11
27,12
48,13
32,14
25,15
31,16
33,17
33,19
30,21
30,22
32,24
31,26
34,28
30,29
27,30
35,31
31,3
31,5
32,7
28,8
30,9
34,11
28,12
34,13
31,15
31,16
39,17
37,19
33,20
30,23
26,24
29,25
46,26
31,27
30,28
30,29
29,30
30,31
34,3
32,4
32,6
38,7
28,8
29,10
25,11
31,12
31,13
31,16
33,17
34,18
31,19
29,20
31,22
35,23
24,25
24,26
22,27
22,28
22,31
20,0
21,1
33,2
22,3
24,4
24,5
17,6
16,7
16,9
29,10
29,11
23,12
23,13
20,14
16,15
31,16
28,17
17,20
29,22
25,23
22,24
24,25
17,27
19,28
20,29
22,30
15,31
24,1
19,3
21,4
24,5
25,6
30,7
19,8
22,11
30,12
15,13
20,14
18,16
26,17
17,18
21,19
19,20
31,21
22,22
32,23
22,24
19,25
21,26
20,28
21,29
23,30
21,31
23,1
16,4
22,5
21,6
19,7
17,9
10,10
8,11
9,12
11,13
10,14
14,15
7,16
10,17
13,18
13,19
11,20
13,21
7,22
26,23
9,24
13,25
13,26
9,27
20,28
7,29
9,30
6,31
7,0
6,1
9,2
14,3
15,4
21,5
11,6
12,7
22,8
11,9
11,10
10,11
14,12
7,13
10,14
11,15
10,16
18,17
13,18
10,19
12,20
12,21
16,22
9,23
12,24
15,25
10,26
11,27
5,28
5,29
7,30
13,31
11,0
20,1
9,2
11,3
12,4
9,5
15,6
9,7
11,8
11,9
10,10
10,11
12,12
9,13
7,14
15,15
9,16
10,17
15,18
18,19
17,20
11,21
12,22
