seq_len,ch_idx
1633,16
1146,20
1147,14
722,8
698,26
696,30
702,4
656,13
663,5
580,18
546,21
549,22
1012,31
568,5
501,14
454,19
567,20
473,21
440,25
424,2
410,7
414,17
361,19
357,24
1445,28
343,5
629,6
341,8
334,11
1006,12
308,16
329,17
1837,18
309,22
299,25
270,0
279,1
300,2
259,5
261,6
934,7
268,8
273,9
242,10
257,12
237,13
242,14
228,15
290,17
217,20
247,22
229,23
245,24
238,25
208,27
195,29
187,31
235,0
203,1
193,2
171,3
181,4
303,5
216,6
176,7
191,8
165,9
180,10
166,11
164,12
159,13
151,14
157,16
143,19
160,21
707,22
155,23
153,24
139,26
140,27
127,28
196,29
123,30
1247,31
163,1
126,2
336,3
110,4
345,6
119,7
135,8
305,9
108,10
98,11
126,12
91,14
107,15
87,16
125,17
103,18
89,19
86,20
102,21
117,23
80,24
85,25
74,26
152,27
247,28
57,29
326,30
59,31
59,0
69,1
89,3
52,4
50,5
208,6
78,8
108,9
1588,10
31,11
43,12
36,13
1489,14
6,15
3,16
17,17
