seq_len,ch_idx
749,16
737,23
703,12
589,15
617,9
584,23
577,4
659,24
486,25
458,3
504,20
431,8
463,16
447,30
432,1
403,26
503,6
419,5
415,21
389,20
404,7
368,10
361,29
369,17
364,17
355,22
370,31
346,18
343,22
352,18
484,13
1043,5
299,9
291,8
302,24
300,28
290,24
285,1
278,24
286,0
273,0
269,23
266,8
279,14
248,29
248,17
339,3
244,6
240,8
574,28
272,17
236,7
233,17
233,21
227,7
228,9
261,26
234,26
212,3
208,4
200,26
200,11
211,25
207,25
190,25
181,10
180,25
176,7
183,19
167,10
164,19
176,0
175,0
160,4
202,6
191,4
153,13
134,4
220,31
164,31
133,31
131,22
126,3
197,20
196,19
127,20
115,12
109,11
381,11
140,12
315,29
180,19
105,22
102,29
85,19
500,27
122,2
82,27
79,2
75,27
126,14
104,2
64,21
115,2
101,10
56,30
155,1
58,16
41,5
128,14
61,11
39,21
39,1
35,6
538,15
61,27
33,28
22,2
21,27
132,13
46,18
21,14
21,13
17,18
39,30
22,30
14,14
11,30
